project,cve,cwe,full_name,vul_version,vul_url,vul_zip,vul_markup_file,patch_version,patch_url,patch_zip,patch_markup_file
memos,CVE-2022-4796,CWE-648,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4796_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4796_memos-v0.9.1.csv
memos,CVE-2022-4797,CWE-307,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4797_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4797_memos-v0.9.1.csv
memos,CVE-2022-4798,CWE-639,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4798_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4798_memos-v0.9.1.csv
memos,CVE-2022-4799,CWE-639,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4799_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4799_memos-v0.9.1.csv
memos,CVE-2022-4800,CWE-940,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4800_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4800_memos-v0.9.1.csv
memos,CVE-2022-4801,CWE-1220,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4801_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4801_memos-v0.9.1.csv
memos,CVE-2022-4802,CWE-639,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4802_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4802_memos-v0.9.1.csv
memos,CVE-2022-4803,CWE-639,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4803_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4803_memos-v0.9.1.csv
memos,CVE-2022-4804,CWE-285,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4804_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4804_memos-v0.9.1.csv
memos,CVE-2022-4805,CWE-648,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4805_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4805_memos-v0.9.1.csv
memos,CVE-2022-4806,CWE-639,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4806_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4806_memos-v0.9.1.csv
memos,CVE-2022-4807,CWE-284,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4807_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4807_memos-v0.9.1.csv
memos,CVE-2022-4809,CWE-284,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4809_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4809_memos-v0.9.1.csv
memos,CVE-2022-4810,CWE-284,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4810_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4810_memos-v0.9.1.csv
memos,CVE-2022-4811,CWE-639,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4811_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4811_memos-v0.9.1.csv
memos,CVE-2022-4812,CWE-639,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4812_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4812_memos-v0.9.1.csv
