project,cve,cwe,full_name,vul_version,vul_url,vul_zip,vul_markup_file,patch_version,patch_url,patch_zip,patch_markup_file
snakeyaml,CVE-2017-18640,CWE-776,snakeyaml/snakeyaml,snakeyaml-snakeyaml-a27d3a306ce4,https://bitbucket.org/snakeyaml/snakeyaml/src/v1.17,https://bitbucket.org/snakeyaml/snakeyaml/get/a27d3a306ce43f3c3b18f72697bb97053a84ca8f.zip,snakeyaml_CVE-2017-18640_snakeyaml-snakeyaml-a27d3a306ce4.csv,snakeyaml-snakeyaml-e91772b1bc0b,https://bitbucket.org/snakeyaml/snakeyaml/src/snakeyaml-1.26,https://bitbucket.org/snakeyaml/snakeyaml/get/e91772b1bc0bc67e4fb60e4c19a1a7ba0a180896.zip,snakeyaml_CVE-2017-18640_snakeyaml-snakeyaml-e91772b1bc0b.csv
xstream,CVE-2017-7957,CWE-20,x-stream/xstream,xstream-XSTREAM_1_4_9,https://github.com/x-stream/xstream/releases/tag/XSTREAM_1_4_9,https://github.com/x-stream/xstream/archive/refs/tags/XSTREAM_1_4_9.zip,xstream_CVE-2017-7957_xstream-XSTREAM_1_4_9.csv,xstream-XSTREAM_1_4_10,https://github.com/x-stream/xstream/releases/tag/XSTREAM,https://github.com/x-stream/xstream/archive/refs/tags/XSTREAM_1_4_10.zip,xstream_CVE-2017-7957_xstream-XSTREAM_1_4_10.csv
spring-data-commons,CVE-2018-1273,CWE-20,spring-projects/spring-data-commons,spring-data-commons-2.0.0.M4,https://github.com/spring-projects/spring-data-commons/releases/tag/2.0.0.M4,https://github.com/spring-projects/spring-data-commons/archive/refs/tags/2.0.0.M4.zip,spring-data-commons_CVE-2018-1273_spring-data-commons-2.0.0.M4.csv,spring-data-commons-2.1.0.M3,https://github.com/spring-projects/spring-data-commons/releases/tag/2.1.0.M3,https://github.com/spring-projects/spring-data-commons/archive/refs/tags/2.1.0.M3.zip,spring-data-commons_CVE-2018-1273_spring-data-commons-2.1.0.M3.csv
spring-data-commons,CVE-2018-1274,CWE-770,spring-projects/spring-data-commons,spring-data-commons-2.0.0.M4,https://github.com/spring-projects/spring-data-commons/releases/tag/2.0.0.M4,https://github.com/spring-projects/spring-data-commons/archive/refs/tags/2.0.0.M4.zip,spring-data-commons_CVE-2018-1274_spring-data-commons-2.0.0.M4.csv,spring-data-commons-2.2.0.RC1,https://github.com/spring-projects/spring-data-commons/releases/tag/2.2.0.RC1,https://github.com/spring-projects/spring-data-commons/archive/refs/tags/2.2.0.RC1.zip,spring-data-commons_CVE-2018-1274_spring-data-commons-2.2.0.RC1.csv
