cve,project,commit_hash,cwe,vul_version_hash,patch_version_hash,markup_vul_file,markup_fix_file
CVE-2023-0642,https://github.com/squidex/squidex,2da3c41da82eb945832f22bb70dba567ac6ce969,CWE-352,5c4408c8cc662deb5abf768e023229aa55807acf,2aca7621845ce18ed4065cba8e3d0fa68aaf02bf,squidex_CVE-2023-0642_vul.csv,squidex_CVE-2023-0642_fix.csv
CVE-2022-4880,https://github.com/stakira/OpenUtau,849a0a6912aac8b1c28cc32aa1132a3140caff4a,CWE-22,863afd57aa055940050efe735bca03f5b2e98b45,e73a8810e141ee9a376acffed2d774b3948aa899,openutau_CVE-2022-4880_vul.csv,openutau_CVE-2022-4880_fix.csv
CVE-2024-23838,https://github.com/TrueLayer/truelayer-dotnet,75e436ed5360faa73d6e7ce3a9903a3c49505e3e,CWE-918,98bb3712f02b964212fe2149e9bbef6f72ba7734,0b070ee0ced9bdf0998beb4902af18785cf4887f,truelayer_CVE-2024-23838_vul.csv,truelayer_CVE-2024-23838_fix.csv
CVE-2023-44390,https://github.com/mganss/HtmlSanitizer,ab29319866c020f0cc11e6b92228cd8039196c6e,CWE-79,0b8b5d111900ffa2cf0a7d24095ee4e20721c137,ab29319866c020f0cc11e6b92228cd8039196c6e,htmlsanitizer_CVE-2023-44390_vul.csv,htmlsanitizer_CVE-2023-44390_fix.csv
CVE-2020-26233,https://github.com/microsoft/Git-Credential-Manager-Core,61c0388e064babb3b4e60d3ec269e8a07ab3bc76,CWE-706,1f4c6db90f0dac32d49cac81561ef3fddddfe9e9,22bd06dc577a40e3070e2d69e04f22841a12dbf8,gcmcore_CVE-2020-26233_vul.csv,gcmcore_CVE-2020-26233_fix.csv
CVE-2022-41418,https://github.com/BlogEngine/BlogEngine.NET,7f927567db94462ffd37e128c0a53c11c1f81a8d,CWE-22,7f927567db94462ffd37e128c0a53c11c1f81a8d,61daddf431ea0b1ca30297ee6b368955b5313c72,blogengine_CVE-2022-41418_vul.csv,blogengine_CVE-2022-41418_fix.csv
